Mass ->,102,104,105,106,108,110
B6-01,1,1,1,0,0,0
B6-02,1,1,0,1,0,0
B6-03,1,1,0,0,1,0
B6-04,1,1,0,0,0,1
B6-05,1,0,1,1,0,0
B6-06,1,0,1,0,1,0
B6-07,1,0,1,0,0,1
B6-08,1,0,0,1,1,0
B6-09,1,0,0,1,0,1
B6-10,1,0,0,0,1,1
B6-11,0,1,1,1,0,0
B6-12,0,1,1,0,1,0
B6-13,0,1,1,0,0,1
B6-14,0,1,0,1,1,0
Balb-01,0,1,0,1,0,1
Balb-02,0,1,0,0,1,1
Balb-03,0,0,1,1,1,0
129-01,0,0,1,1,0,1
129-02,0,0,1,0,1,1
129-03,0,0,0,1,1,1
